Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Korea, Rep.",KOR,Male population 60-64,SP.POP.6064.MA,1089180,1133814,1171444,1198881,1227324,1274622,1345460,1436505,1551408,1674000
"Korea, Rep.",KOR,Male population 65-69,SP.POP.6569.MA,815898,842985,878670,924668,976665,1028404,1072666,1106992,1133918,1162000
"Korea, Rep.",KOR,Male population 70-74,SP.POP.7074.MA,639217,670508,691392,703902,714937,734123,763547,796745,840610,890000
"Korea, Rep.",KOR,Male population 75-79,SP.POP.7579.MA,345989,378465,413412,452480,492493,528995,557983,576052,588341,600000
"Korea, Rep.",KOR,Male population 80+,SP.POP.80UP.MA,255597,269775,295145,319858,345315,374072,406225,451432,498702,545000
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51648000
"Korea, Rep.",KOR,"Population, female",SP.POP.TOTL.FE.IN,24595825,24724979,24921589,25058260,25177505,25340846,25479412,25599155,25713661,25809000
"Korea, Rep.",KOR,"Population, male",SP.POP.TOTL.MA.IN,24712010,24829133,25015049,25141593,25251388,25405813,25535535,25646552,25752540,25839000
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.514682827535803,0.49822508440111,0.768971758582589,0.525713660600414,0.455218622164662,0.628149861433639,0.527288497407793,0.451318043969976,0.429345229786812,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,,,
Last Updated: 04/25/2019,,,,,,,,,,,,,
