타임스탬프,1. 您的年纪？,2. 您的国籍？,3. 您的性别,4. 结婚与否？,5. 月平均所得？,6. 您的职业？,7. 在过去一年中是否定期服用保健品?,7-1正在服用的保健品服用频率是？,9. 过去一年中是否为家人购买保健品？,9-1. 送保健品给父母的最好时机是？,10. 购买保健品时主要使用的品种是？（可多选）,11. 购买保健品的主要途径是?,12. 你喜欢的味道?（可多选）,13. 你喜欢用什么方式服用?,14. 是否使用过电子咖啡壶？,15.对于需要每天服用一次的保健品最理想的价格。（每个月为基准）,1.请勾选出您父母的年龄,2.父母是否有确诊过有任何的慢性疾病，是哪种,3.父母是否在过去一年中固定使用哪种保健品,3-1.请将使用保健品的频度在下方勾选出,4.父母是否有使用咖啡机的经验或体会
2019/05/25 10:31:17 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,二百万元以上不满三百万元（12000-18000元）,学生,有,每周1-3次,有,父亲节或母亲节,红参;人参;鱼肝油;绿藻类;叶黄素;绿茶提取物,线上购物,奶茶;可可茶,袋装型,是,15-20万（800-1200元）,55-60岁,皮肤保养,是,每周1-3次,是
2019/05/25 10:33:22 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,二百万元以上不满三百万元（12000-18000元）,学生,有,每周1-3次,有,过节,维他命/矿物质;炼乳;芦荟;鱼肝油;高钙类,线上购物,奶茶;可可茶,粉末型,是,15-20万（800-1200元）,55-60岁,高血压,是,每周1-3次,是
2019/05/25 10:34:28 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,无,,红参;维他命/矿物质;人参;鱼肝油;高钙类,商场,咖啡,条状果糖型,否,5万以下（300元以下）,55-60岁,,否,,否
2019/05/25 10:35:12 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,二百万元以上不满三百万元（12000-18000元）,学生,有,每周4-6回,有,过节,维他命/矿物质;炼乳;芦荟;鱼肝油;膳食纤维i,线上购物,奶茶;可可茶,粉末型,是,15-20万（800-1200元）,55-60岁,关节炎,是,每周1-3次,是
2019/05/25 10:35:53 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,无,,有,平时,维他命/矿物质;鱼肝油,专柜,水果茶,胶囊型,否,5万以下（300元以下）,50-55,,是,每周1-3次,否
2019/05/25 10:37:26 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;炼乳;芦荟;人参;鱼肝油,线上购物,水果茶;奶茶;可可茶,袋装型,是,10-15万（600-800元）,55-60岁,骨质疏松,是,每周1-3次,是
2019/05/25 10:39:12 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质;炼乳;芦荟;鱼肝油,线上购物,水果茶;奶茶;可可茶,胶囊型,是,10-15万（600-800元）,55-60岁,关节炎,是,每周1-3次,是
2019/05/25 10:41:20 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;人参;鱼肝油,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,骨质疏松,是,每周1-3次,是
2019/05/25 10:42:35 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质,线上购物,水果茶,条状果糖型,否,5-10万（300-600元）,55-60岁,,否,,否
2019/05/25 10:42:49 오전 GMT+9,25 – 30,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,有,过节,高钙类,专柜,草本茶,液体型,否,10-15万（600-800元）,55-60岁,关节炎,否,,否
2019/05/25 10:43:07 오전 GMT+9,30 – 35,中华人民共和国,男,未婚,二百万元以上不满三百万元（12000-18000元）,其它,无,,无,,红参,百货商场,咖啡;水果茶;奶茶;可可茶,胶囊型,否,5万以下（300元以下）,55-60岁,,否,,否
2019/05/25 10:44:32 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;炼乳;鱼肝油;高钙类,线上购物,红茶;水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,关节炎,是,每周1-3次,是
2019/05/25 10:44:57 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,无,,红参;维他命/矿物质;人参;膳食纤维i;高钙类,专柜,咖啡;水果茶;奶茶,,否,5万以下（300元以下）,55-60岁,,否,,否
2019/05/25 10:45:40 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质;人参;鱼肝油;膳食纤维i;高钙类,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,白内障,是,每周1-3次,是
2019/05/25 10:47:20 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质;炼乳;鱼肝油;膳食纤维i;高钙类,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,糖尿病,是,每周1-3次,是
2019/05/25 10:49:02 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,无,,维他命/矿物质,商场,红茶;咖啡;水果茶;奶茶;可可茶,胶囊型,是,10-15万（600-800元）,55-60岁,高血压,否,,否
2019/05/25 10:49:08 오전 GMT+9,20 – 25,中华人民共和国,男,,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质;人参;鱼肝油;膳食纤维i;高钙类,线上购物,水果茶;奶茶;可可茶,袋装型,是,10-15万（600-800元）,55-60岁,糖尿病,是,每周1-3次,是
2019/05/25 10:51:26 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,红参;维他命/矿物质;炼乳;鱼肝油;膳食纤维i,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,白内障,是,每周1-3次,是
2019/05/25 10:51:53 오전 GMT+9,20 – 25,中华人民共和国,男,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,有,,红参;人参;高钙类;绿茶提取物,药店,红茶;水果茶;草本茶,胶囊型,是,10-15万（600-800元）,55-60岁,무,否,,中國人只喝中國茶。
2019/05/25 10:53:03 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,红参;维他命/矿物质;人参;鱼肝油;膳食纤维i;高钙类,线上购物,红茶;水果茶;奶茶;可可茶,袋装型,是,10-15万（600-800元）,55-60岁,白内障,是,每周4-6次,是
2019/05/25 10:54:44 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,红参;维他命/矿物质;人参;鱼肝油;膳食纤维i,专柜,红茶;咖啡;草本茶,粉末型,是,10-15万（600-800元）,55-60岁,关节炎,是,每周1-3次,是
2019/05/25 11:05:50 오전 GMT+9,20 – 25,中华人民共和国,男;女,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,维他命/矿物质;鱼肝油;膳食纤维i,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,白内障,是,每周4-6次,是
2019/05/25 11:06:24 오전 GMT+9,25 – 30,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,无,,高钙类;绿茶提取物,,草本茶,液体型,否,5-10万（300-600元）,55-60岁,高血压,否,,否
2019/05/25 11:07:16 오전 GMT+9,25 – 30,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,其它,无,,有,过节,,百货商场,红茶,液体型,否,5-10万（300-600元）,55-60岁,高血压,否,,否
2019/05/25 11:07:55 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,红参;炼乳;人参;鱼肝油;膳食纤维i,线上购物,水果茶;奶茶;可可茶,粉末型,是,10-15万（600-800元）,55-60岁,糖尿病,是,每周1-3次,是
2019/05/25 11:07:58 오전 GMT+9,25 – 30,中华人民共和国,男,已婚,八百万元以上不满九百万元（48000-54000元）,个体工商户(商业，职工9人以下的小生意及个体出租车司机等),有,每周1-3次,有,父亲节或母亲节,红参;膳食纤维i;高钙类;绿茶提取物,百货商场,红茶;草本茶,条状果糖型,否,5-10万（300-600元）,55-60岁,,是,每周4-6次,否
2019/05/25 11:08:16 오전 GMT+9,25 – 30,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,其它,无,,有,生日,红参;人参,专柜,红茶,液体型,否,5-10万（300-600元）,55-60岁,高血压,否,,否
2019/05/25 11:29:56 오전 GMT+9,25 – 30,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,有,回国,红参,线上购物,红茶;草本茶,粉末型,否,5万以下（300元以下）,55-60岁,高血压,否,,否
2019/05/25 11:38:40 오전 GMT+9,30 – 35,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,有,每日一次,无,,红参;维他命/矿物质;高钙类,专柜,红茶;水果茶;草本茶,液体型,否,5-10万（300-600元）,55-60岁,骨质疏松,是,每天1次,否
2019/05/25 11:40:47 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,无,,红参;维他命/矿物质;高钙类,商场,咖啡;奶茶;可可茶,胶囊型,否,5万以下（300元以下）,50左右,高血压,否,,否
2019/05/25 12:18:14 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,有,回国时,红参;绿藻类,线上购物,红茶;咖啡;奶茶,胶囊型,是,5万以下（300元以下）,48.49,,是,每周1-3次,是
2019/05/25 12:20:37 오후 GMT+9,25 – 30,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参,商场,红茶;水果茶;奶茶,条状果糖型,否,5-10万（300-600元）,55-60岁,高血压,否,,否
2019/05/25 1:21:17 오후 GMT+9,25 – 30,中华人民共和国,女,未婚,,学生,有,每周1-3次,有,,红参,商场,红茶;水果茶,液体型,否,5-10万（300-600元）,55-60岁,,否,,否
